filename,label,manipulation_type,source_path,extraction_status
BKX3BV13HZ.jpg,fake,N/A,data\raw_samples\real_vs_fake\real-vs-fake\train\fake\BKX3BV13HZ.jpg,success
59348.jpg,real,N/A,data\raw_samples\real_vs_fake\real-vs-fake\train\real\59348.jpg,success
35004.jpg,real,N/A,data\raw_samples\real_vs_fake\real-vs-fake\train\real\35004.jpg,success
N0NOX5PWHS.jpg,fake,N/A,data\raw_samples\real_vs_fake\real-vs-fake\train\fake\N0NOX5PWHS.jpg,success
37982.jpg,real,N/A,data\raw_samples\real_vs_fake\real-vs-fake\train\real\37982.jpg,success
64BFIV5I2W.jpg,fake,N/A,data\raw_samples\real_vs_fake\real-vs-fake\train\fake\64BFIV5I2W.jpg,success
5945UPP56N.jpg,fake,N/A,data\raw_samples\real_vs_fake\real-vs-fake\valid\fake\5945UPP56N.jpg,success
34OTUBOKTQ.jpg,fake,N/A,data\raw_samples\real_vs_fake\real-vs-fake\valid\fake\34OTUBOKTQ.jpg,success
ITCYV9XUDE.jpg,fake,N/A,data\raw_samples\real_vs_fake\real-vs-fake\train\fake\ITCYV9XUDE.jpg,success
03866.jpg,real,N/A,data\raw_samples\real_vs_fake\real-vs-fake\valid\real\03866.jpg,success
28488.jpg,real,N/A,data\raw_samples\real_vs_fake\real-vs-fake\test\real\28488.jpg,success
LL3AEOOLQD.jpg,fake,N/A,data\raw_samples\real_vs_fake\real-vs-fake\test\fake\LL3AEOOLQD.jpg,success
ZWU06CIQSU.jpg,fake,N/A,data\raw_samples\real_vs_fake\real-vs-fake\train\fake\ZWU06CIQSU.jpg,success
48839.jpg,real,N/A,data\raw_samples\real_vs_fake\real-vs-fake\test\real\48839.jpg,success
0GVMOUXBKD.jpg,fake,N/A,data\raw_samples\real_vs_fake\real-vs-fake\valid\fake\0GVMOUXBKD.jpg,success
33352.jpg,real,N/A,data\raw_samples\real_vs_fake\real-vs-fake\train\real\33352.jpg,success
XW0T1RSXTS.jpg,fake,N/A,data\raw_samples\real_vs_fake\real-vs-fake\train\fake\XW0T1RSXTS.jpg,success
44919.jpg,real,N/A,data\raw_samples\real_vs_fake\real-vs-fake\train\real\44919.jpg,success
U9PN5D3LS7.jpg,fake,N/A,data\raw_samples\real_vs_fake\real-vs-fake\valid\fake\U9PN5D3LS7.jpg,success
JIL1WA33FL.jpg,fake,N/A,data\raw_samples\real_vs_fake\real-vs-fake\train\fake\JIL1WA33FL.jpg,success
XT408FGI6A.jpg,fake,N/A,data\raw_samples\real_vs_fake\real-vs-fake\train\fake\XT408FGI6A.jpg,success
69492.jpg,real,N/A,data\raw_samples\real_vs_fake\real-vs-fake\train\real\69492.jpg,success
9JTO8IXAUW.jpg,fake,N/A,data\raw_samples\real_vs_fake\real-vs-fake\test\fake\9JTO8IXAUW.jpg,success
8G6XUPZP85.jpg,fake,N/A,data\raw_samples\real_vs_fake\real-vs-fake\test\fake\8G6XUPZP85.jpg,success
KLZFNQI8JL.jpg,fake,N/A,data\raw_samples\real_vs_fake\real-vs-fake\valid\fake\KLZFNQI8JL.jpg,success
68460.jpg,real,N/A,data\raw_samples\real_vs_fake\real-vs-fake\train\real\68460.jpg,success
65038.jpg,real,N/A,data\raw_samples\real_vs_fake\real-vs-fake\train\real\65038.jpg,success
42940.jpg,real,N/A,data\raw_samples\real_vs_fake\real-vs-fake\train\real\42940.jpg,success
61852.jpg,real,N/A,data\raw_samples\real_vs_fake\real-vs-fake\train\real\61852.jpg,success
59437.jpg,real,N/A,data\raw_samples\real_vs_fake\real-vs-fake\train\real\59437.jpg,success
25506.jpg,real,N/A,data\raw_samples\real_vs_fake\real-vs-fake\train\real\25506.jpg,success
QKW7YRZ65E.jpg,fake,N/A,data\raw_samples\real_vs_fake\real-vs-fake\train\fake\QKW7YRZ65E.jpg,success
33545.jpg,real,N/A,data\raw_samples\real_vs_fake\real-vs-fake\train\real\33545.jpg,success
DMXMKH80CK.jpg,fake,N/A,data\raw_samples\real_vs_fake\real-vs-fake\train\fake\DMXMKH80CK.jpg,success
UYLBBA3EKT.jpg,fake,N/A,data\raw_samples\real_vs_fake\real-vs-fake\train\fake\UYLBBA3EKT.jpg,success
01930.jpg,real,N/A,data\raw_samples\real_vs_fake\real-vs-fake\test\real\01930.jpg,success
17495.jpg,real,N/A,data\raw_samples\real_vs_fake\real-vs-fake\train\real\17495.jpg,success
BKLPARFQP9.jpg,fake,N/A,data\raw_samples\real_vs_fake\real-vs-fake\train\fake\BKLPARFQP9.jpg,success
6OHCJ3CI7W.jpg,fake,N/A,data\raw_samples\real_vs_fake\real-vs-fake\train\fake\6OHCJ3CI7W.jpg,success
FTTERCN0QB.jpg,fake,N/A,data\raw_samples\real_vs_fake\real-vs-fake\train\fake\FTTERCN0QB.jpg,success
ETUOCOE2DP.jpg,fake,N/A,data\raw_samples\real_vs_fake\real-vs-fake\train\fake\ETUOCOE2DP.jpg,success
LVVRWHF0ON.jpg,fake,N/A,data\raw_samples\real_vs_fake\real-vs-fake\valid\fake\LVVRWHF0ON.jpg,success
33569.jpg,real,N/A,data\raw_samples\real_vs_fake\real-vs-fake\test\real\33569.jpg,success
L3K4TQOTGJ.jpg,fake,N/A,data\raw_samples\real_vs_fake\real-vs-fake\train\fake\L3K4TQOTGJ.jpg,success
FQ07GCT80E.jpg,fake,N/A,data\raw_samples\real_vs_fake\real-vs-fake\train\fake\FQ07GCT80E.jpg,success
1AR3X3UEKU.jpg,fake,N/A,data\raw_samples\real_vs_fake\real-vs-fake\train\fake\1AR3X3UEKU.jpg,success
43858.jpg,real,N/A,data\raw_samples\real_vs_fake\real-vs-fake\train\real\43858.jpg,success
07236.jpg,real,N/A,data\raw_samples\real_vs_fake\real-vs-fake\test\real\07236.jpg,success
22309.jpg,real,N/A,data\raw_samples\real_vs_fake\real-vs-fake\train\real\22309.jpg,success
O5J3WDUL7G.jpg,fake,N/A,data\raw_samples\real_vs_fake\real-vs-fake\train\fake\O5J3WDUL7G.jpg,success
33829.jpg,real,N/A,data\raw_samples\real_vs_fake\real-vs-fake\test\real\33829.jpg,success
9TRX76HLE7.jpg,fake,N/A,data\raw_samples\real_vs_fake\real-vs-fake\train\fake\9TRX76HLE7.jpg,success
RPS8I4OKNO.jpg,fake,N/A,data\raw_samples\real_vs_fake\real-vs-fake\train\fake\RPS8I4OKNO.jpg,success
9NGDP2OLVD.jpg,fake,N/A,data\raw_samples\real_vs_fake\real-vs-fake\train\fake\9NGDP2OLVD.jpg,success
36625.jpg,real,N/A,data\raw_samples\real_vs_fake\real-vs-fake\train\real\36625.jpg,success
IIDS6BGCXH.jpg,fake,N/A,data\raw_samples\real_vs_fake\real-vs-fake\train\fake\IIDS6BGCXH.jpg,success
63024.jpg,real,N/A,data\raw_samples\real_vs_fake\real-vs-fake\train\real\63024.jpg,success
H6G1ED3NV6.jpg,fake,N/A,data\raw_samples\real_vs_fake\real-vs-fake\train\fake\H6G1ED3NV6.jpg,success
ZUCTKVMF7V.jpg,fake,N/A,data\raw_samples\real_vs_fake\real-vs-fake\train\fake\ZUCTKVMF7V.jpg,success
ULZGTWRQX1.jpg,fake,N/A,data\raw_samples\real_vs_fake\real-vs-fake\test\fake\ULZGTWRQX1.jpg,success
IOS5JGNY6N.jpg,fake,N/A,data\raw_samples\real_vs_fake\real-vs-fake\train\fake\IOS5JGNY6N.jpg,success
RUX20GZ0UA.jpg,fake,N/A,data\raw_samples\real_vs_fake\real-vs-fake\train\fake\RUX20GZ0UA.jpg,success
98ELO6O4EM.jpg,fake,N/A,data\raw_samples\real_vs_fake\real-vs-fake\train\fake\98ELO6O4EM.jpg,success
RQBBZOB1LM.jpg,fake,N/A,data\raw_samples\real_vs_fake\real-vs-fake\train\fake\RQBBZOB1LM.jpg,success
49217.jpg,real,N/A,data\raw_samples\real_vs_fake\real-vs-fake\test\real\49217.jpg,success
11394.jpg,real,N/A,data\raw_samples\real_vs_fake\real-vs-fake\train\real\11394.jpg,success
LHLXYXRLMD.jpg,fake,N/A,data\raw_samples\real_vs_fake\real-vs-fake\test\fake\LHLXYXRLMD.jpg,success
XT9JIHBVDJ.jpg,fake,N/A,data\raw_samples\real_vs_fake\real-vs-fake\valid\fake\XT9JIHBVDJ.jpg,success
39948.jpg,real,N/A,data\raw_samples\real_vs_fake\real-vs-fake\train\real\39948.jpg,success
WAT10RYIJC.jpg,fake,N/A,data\raw_samples\real_vs_fake\real-vs-fake\test\fake\WAT10RYIJC.jpg,success
44110.jpg,real,N/A,data\raw_samples\real_vs_fake\real-vs-fake\valid\real\44110.jpg,success
FM92S5ZNM7.jpg,fake,N/A,data\raw_samples\real_vs_fake\real-vs-fake\train\fake\FM92S5ZNM7.jpg,success
PN7PLETV5Y.jpg,fake,N/A,data\raw_samples\real_vs_fake\real-vs-fake\train\fake\PN7PLETV5Y.jpg,success
11935.jpg,real,N/A,data\raw_samples\real_vs_fake\real-vs-fake\train\real\11935.jpg,success
89LEFGWA04.jpg,fake,N/A,data\raw_samples\real_vs_fake\real-vs-fake\train\fake\89LEFGWA04.jpg,success
LG1D5P1ZNR.jpg,fake,N/A,data\raw_samples\real_vs_fake\real-vs-fake\train\fake\LG1D5P1ZNR.jpg,success
AWKGVHXJPE.jpg,fake,N/A,data\raw_samples\real_vs_fake\real-vs-fake\train\fake\AWKGVHXJPE.jpg,success
56953.jpg,real,N/A,data\raw_samples\real_vs_fake\real-vs-fake\train\real\56953.jpg,success
BJ7Z6X0IAN.jpg,fake,N/A,data\raw_samples\real_vs_fake\real-vs-fake\train\fake\BJ7Z6X0IAN.jpg,success
2Q9AIIBMMS.jpg,fake,N/A,data\raw_samples\real_vs_fake\real-vs-fake\train\fake\2Q9AIIBMMS.jpg,success
61017.jpg,real,N/A,data\raw_samples\real_vs_fake\real-vs-fake\valid\real\61017.jpg,success
51231.jpg,real,N/A,data\raw_samples\real_vs_fake\real-vs-fake\train\real\51231.jpg,success
41586.jpg,real,N/A,data\raw_samples\real_vs_fake\real-vs-fake\train\real\41586.jpg,success
60722.jpg,real,N/A,data\raw_samples\real_vs_fake\real-vs-fake\train\real\60722.jpg,success
33016.jpg,real,N/A,data\raw_samples\real_vs_fake\real-vs-fake\train\real\33016.jpg,success
UACAWK90MK.jpg,fake,N/A,data\raw_samples\real_vs_fake\real-vs-fake\train\fake\UACAWK90MK.jpg,success
13NCA8VZFM.jpg,fake,N/A,data\raw_samples\real_vs_fake\real-vs-fake\test\fake\13NCA8VZFM.jpg,success
12062.jpg,real,N/A,data\raw_samples\real_vs_fake\real-vs-fake\train\real\12062.jpg,success
33196.jpg,real,N/A,data\raw_samples\real_vs_fake\real-vs-fake\test\real\33196.jpg,success
50374.jpg,real,N/A,data\raw_samples\real_vs_fake\real-vs-fake\train\real\50374.jpg,success
